Name,Scientific Name,Occurrence,Allergen Name,Alternative Allergen Name,Allergen Designation,Protein Family,Sequence Known,Allergen Stability,Nature,Properties,Purification
Buckwheat,Fagopyrum esculentum,,16 kDa and 18 kDa allergens,,Major,Not known,Yes,,IgE from buckwheat allergic individuals has been reported to cross-reacts with proteins from latex and rice.  The 16-19 kDa allergens seem to be related to alpha-amylase/trypsin inhibitor family (including 2S albumins).,,Yoshimasu et al. (2000) [244] reported a purification of the 18 kDa allergen by reverse phase chromatography using a Source 15RPC ST 6.6/100 column (Amersham Pharmacia Biotech) equilibrated with 0.1% (v/v) trifluoroacetic acid. Samples were eluted with 0.1% (v/v) trifluoroacetic acid in 70% (v/v) acetonitrile. The 18 kDa allergen purified in a double peak.
Buckwheat,Fagopyrum esculentum,,19 kDa allergen,,Major,Not known,N-terminal peptide.,,IgE from buckwheat allergic individuals has been reported to cross-reacts with proteins from latex and rice. The 16-19 kDa allergens seem to be related to alpha-amylase/trypsin inhibitor family (including 2S albumins).,,Not reported
Buckwheat,Fagopyrum esculentum,,BW10kD allergen protein,,Major,PF00234; Tryp_alpha_amyl; 1.,Yes,,"IgE in allergic sera to buckwheat cross-react with those from latex (De Maat-Bleeker & Stapel, 1998) [39] and rice (Yamada et al, 1995) [236]. There are no close homologues in Swissprot with Ber e 1 closest at 29% identity. There is a relationship between this sequence (Nagata et al. 2001 [124]) and that given by Park et al. (2000) for the 16 kDa allergen as shown belowBW8 kDa MKLFLILAAASLLIVASHADSQMRSKCRKQMRMMEP16 kDa                             RDEGFDLGETQMSSKCMRQVKMNEPThe 16 kDa sequence is identical to the N-terminal 18 residues of the 18 kDa allergen of Yoshimasu et al. (2000)",,"Buckwheat was extracted twice with 0.125 M NaHCO3at 4Â°C for 1 h, centrifuged and the supernatants dialyzed against distilled water. The extracts were loaded on an anion-exchange chromatographer (DEAE-TOYOPEARL 650M, Tosoh, Tokyo) that had been equilibrated with Na2HPO4(20 mM, pH 7). After washing the column with the same buffer, the proteins were eluted with a linear gradient of NaCl ranging from 0 to 1 M NaCl in Na2HPO4(20 mM, pH 7). The fractions containg the partially purified BW10kD were identified by SDS-PAGE."
Buckwheat,Fagopyrum esculentum,,BW24KD,,Major,PfamPF00190; Cupin 11S,Yes,,The buckwheat legumins listed above share more than 80% identity with each other and would be expected to cross-react. They would also be expected to cross-react with 11S seed storage globulins from other species of buckwheat such asQ9M642(fragment) fromFagopyrum gracilipesandQ8LGR7fromFagopyrum tataricum(Tartarian buckwheat).,,Not reported
Buckwheat,Fagopyrum esculentum,,BWI-1 BWI-1a BWI-2a BWI-3C BWI-4a BWI-4c BTI-1 BTI-2 and BTI-3,,Minor,PF00280; Type I potato serine protease inhibitor family.,Yes,,"These inhibitors are similar to inhibitors from Amaranth (eg. P80211).IgE in allergic sera to buckwheat cross-react with those from latex (De Maat-Bleeker & Stapel 1998 [39]; Schiffner et al., 2001 [502])",,"Bolozersky et al (1995) [23] followed an initial extraction from the seed by either a trypsin-Sepharose column or Sephadex G-75 followed by chromatography on Mono Q HR 5/5 in 20 mM K, Na-phosphate, pH 6.8. Protein was eluted by a 0-100 mM NaCl gradient. BWI-1 was then purified by reverse-phase HPLC on a aquapore RP-300 column using a acetonitryl gradient.Pandya et al. (1996) [139] stirred 250 g batches of flour with 2.5l of 2% (w/v) NaCl for 90 min. This was filtered and centrifuged. The supernatant was heated to 80 deg. C for 10 min. Ammonium sulphate was added to 60% saturation. The ppt. was disolved in water, dialysed and lyophilized. The protein was disolved in 6M urea in 0.1M acetic acid and fractioned by gel filtration (Sephadex G-50 equilibrated in 0.1M acetic acid). Fractions were lyophilized and applied to an inactivated trypsin column at pH 8.1. The inhibitors were eluted at pH 2.1 in 0.1M KCl, desalted and lyophilized. The protein was then chromatographed on DEAE-Sepharose CL-6B equilibrated with 50 mM Tris, pH 8.4, with a 0-0.3M NaCl gradient. Peaks were rerun on a Synchropak AX300 HPLC column in 10 mM Na-Pi buffer and eluted using gradients 0-0.2M and 0,2-0.6M NaCl.Park et al. (1997) [143] extracted defatted flour with 10 mM sodium phosphate, pH 7.5, containing 0.15M NaCl with agitation for 2 hours at 4Â°C. After centrifigation (20 minutes at 13000g), ammonium sulfate was added to 100% saturation and precipitate was collected after 24 hours by centrifugation.  After dialysis against 10 mM sodium phosphate, pH 7.5, and gel filtration on Sephadex G-50, the trypsin inhibitory fractions were collected. These were further purified and separated on a DEAE-cellulose column equilibrated with 10 mM Tris/HCl pH 8.0, with elution by a linear 0-0.3M NaCl gradient, followed by purification on an FPLC Mono-Q column and RP-HPLC on a Wakosil C-18 column."
Buckwheat,Fagopyrum esculentum,,BWI-1c BWI-2 BWI-2b BWI-2c,,Minor,PF04702;Vicilin_N (This is a tentative identification),Yes,,None known,,"Pandya et al. (1996) [139] stirred 250 g batches of flour with 2.5l of 2% (w/v) NaCl for 90 min. This was filtered and centrifuged. The supernatant was heated to 80 deg. C for 10 min. Ammonium sulphate was added to 60% saturation. The ppt. was disolved in water, dialysed and lyophilized. The protein was disolved in 6M urea in 0.1M acetic acid and fractioned by gel filtration (Sephadex G-50 equilibrated in 0.1M acetic acid). Fractions were lyophilized and applied to an inactivated trypsin column at pH 8.1. The inhibitors were eluted at pH 2.1 in 0.1M KCl, desalted and lyophilized. The protein was then chromatographed on DEAE-Sepharose CL-6B equilibrated with 50 mM Tris, pH 8.4, with a 0-0.3M NaCl gradient. Peaks were rerun on a Synchropak AX300 HPLC column in 10 mM Na-Pi buffer and eluted using gradients 0-0.2M and 0,2-0.6M NaCl.Bolozersky et al (1995) [23] made an extract from seeds and used either a trypsin-Sepharose column or Sephadex G-75 followed in each case by chromatography on Mono Q HR 5/5 in 20 mM K, Na-phosphate, pH 6.8. Protein was eluted by a 0-100 mM NaCl gradient. BWI-1 was then purified by reverse-phase HPLC on a aquapore RP-300 column using acetonitryl and trifluoracetic acid.Park et al. (1997) [143] extracted defatted flour with 10 mM sodium phosphate, pH 7.5, containing 0.15M NaCl with agitation for 2 hours at 4Â°C. After centrifigation (20 minutes at 13000g), ammonium sulfate was added to 100% saturation and precipitate was collected after 24 hours by centrifugation.  After dialysis against 10 mM sodium phosphate, pH 7.5, and gel filtration on Sephadex G-50, the trypsin inhibitory fractions were collected. These were further purified and separated on a DEAE-cellulose column equilibrated with 10 mM Tris/HCl pH 8.0, with elution by a linear 0-0.3M NaCl gradient, followed by purification on an FPLC Mono-Q column and RP-HPLC on a Wakosil C-18 column."
Pomegranate,Punica granatum,,,,,,,,,,
Pomegranate,Punica granatum,,,,,,,,,,
Apple,Malus domestica,,,,,,,,,,
Apple,Malus domestica,,,,,,,,,,
Apple,Malus domestica,,Mal d 1,,Major,"Bet v 1 homologue, PfamPF00407",Yes,,"As a consequence of sequence identities, IgE to Mal d 1 cross-reacts with the allergenic Bet v 1 homologous from celery (Api g 1), carot (Dau c 1) and cherry (Pru a 1) and with major pollen allergens from the order Fagales , including birch (Bet v 1) (Ebner et al. 1995), alder (Aln g 1), hazelnut (Cor a 1) and Car b 1.Sequence comparison of Mal d 1 to Bet v 1 revealed 64.5% amino acid identity and 55.6% nucleic acid identity (Vanek-Krebitz et al. 1995)",,"Apple fruits (cv. Golden Delicious) were homogenized with diacetone alcohol for 18 h at -20Â°C, then, filtered, dried and resolubilized with 0.1 M potassium phosphate buffer containing EDTA, DIECA, benzamidine hydrochloride adn phenylmethylsulfonyl fluoride. The solution was centrifuged (40,000 g, 30 min) and lyophilised. The apple extract was dissolved in Tris-HCl, and loaded first into an anion exchange chromatography column (Q Resource) and then into a reversed-phase HPLC column (Vydac, 214TP54). The proteins were eluted with a linear gradient of 0-50% acetonitrile in 0.1% TFA for 30 min and 5 min of 50-80% (Fahlbusch et al. 1995)Apple fruits (Malus domestica, cultivar Granny Smith) were obtained from a local grocery store and extracted according to the method of BjÃ¶rksten et al. followed by removal of pectins by addition of 5 mmol/L Ca2+, Mg2+, and Mn2+(chloride salts in each case), centrifugation, and dialysis of supernatant against PBS. Mal d 1 was subsequently affinity purified with Sepharose-coupled mAb 5H8 directed to Bet v 1 (Helsper et al. 2002)Purification of recombinant Mal d 1 has been reported by several authors (Vanek-Krebitz et al. 1995), (Son et al. 1999)"
Apple,Malus domestica,,Mal d 2,,None,"Thaumatin-like proteins, PfamPF00314",Yes,,None identified,,"Natural Mal d 2 was purified from apple protein extract using the reversed-phase HPLC column C8 Hypersil WP 300, 10 Âµm, 8 mmÃ250 mm and a linear gradient of 2-propanol (solvent A: 0.1% trifluoroacetic acid in water; solvent B: 90% 2-propanol, 0.1% trifluoroacetic acid; gradient: of 0\Z80% of solvent B) (Krebitz et al., 2003) [595].Apple fruit pieces were homogenized in 50 mM acetic acid. After filtering the pH was adjusted to 1M acetic acid, pH3 and the extract was centrifuged at 9000 g(15 min). The cleared extract was purified using a S Fast Flow column equilibrated with 20 mM acetic acid and the protein eluted with 50 mM Tris-HCl (pH 7.8). The partially purified protein fraction was adjusted to pH 3.0 with 1 M acetic acid, centrifuged (9000g, 15 min) and loaded onto the same column. The protein was eluted with 20 mM Na-formate buffer (pH 3.8) containing 0.0\Z0.5 M NaCl in formate buffer (Menu-Bouaouiche et al. 2003) [1176].Heterologous expression in Nicotiana benthamiana followed by purification (Krebitz et al., 2003) [595]"
Apple,Malus domestica,,Mal d 3,,Minor in Cental and North Europe. Major in Mediterranean population (Sanchez-Monge et al. 1999 [172]; Pastorello et al. 1999 [157]; Garcia-Selles et al. 2002 [594]),"Protease inhibitor/seed storage/LTP family, PfamPF00234non specific lipid transfer protein (nsLTP)",Yes,,The deduced primary structures for Pru p 3 and Mal d 3 showed 82% identity which explains the cross-reactions between these proteins (Diaz-Perales et al. 2002 [592]). Immunoblot inhibition assays confirmed these cross-reactivitiy (Sanchez-Monge et al. 1999 [172]).,,"Ground apple skins are extracted with PBS (1:10, wt:v) for 1h at 4C, After centrifugation at 10,000rpm for 25 min, 4C, the supernatants are dialysed and freeze dried. The protein was then exchanged into 0.1M ammonium acetate, and defatted with cold acetone, followed by ethanol:ether (1:3, v:v) for 1h at 4C. The residues were dried and applied to a C4 reverse phase column (Vydac 22x250mm, 10um particle size) using a two step linear gradient of acetonitrile in 0.1% (v:v) trifluoroacetic acid (0-40%, 120min; 40-85min 30 min using a flow rate of 1ml/min) (Sanchez-Monge et al 1999 [172]).In another study (Pastorello et al 1999 [157]) apple LTP was extracted from apple peel (cv Golden Delicious) by homogenisation 3:1 (w:v) in PBS. 2% (w/v) polyvinylpyrrolidone, 2mM EDTA, 10mM diethyldithiocarbamate, 3mM NaN3. Extracts were clarified by centrifugation (16,000xg) at 4C, 30min, dialysed against PBS and concentrated in a centrifugal concentrator (3kd cut-off filter). This extract was loaded onto a Resource-S cation exchange column equilibrated in 30mM sodium citrate buffer pH 6 and the LTP eluted with 1M NaCl (20 column vols, 6ml/min). A final gel-permeation chromatography step on Superdex 75 in citrate buffer (pH 6.0) was then performed.Zuidmeer et al. (2005) [1830] purified recombinant Mal d 3 (and Pru p 3) using the yeastPichia pastoris. Proteins were purified via cation exchange chromatography."
Apple,Malus domestica,,Mal d 4,,Minor,"Profilin, PfamPF00235",Yes,,IgE cross-reacts with profilins from other plant species such as Bet v 2 from birch pollen (Ebner et al. 1995),,"Profilins are generally purified by affinity chormatography. Whilst there is no report for apple, profilins have been purified from other plant species (Radauer and Hoffmann-Sommergruber, 2004)"
Cashew,Anacardium occidentale,,,,,,,,,,
Cashew,Anacardium occidentale,,,,,,,,,,
Cashew,Anacardium occidentale,,Ana o 1,,Major,"7S seed storage globulin, Cupin, PfamPF00190",Yes,,"Pistachio proteins at 34, 41, 52 and 60 kD cross-react with cashew extract by CAP-inhibition but were not identified (Parra et al. 1993 [952]). Thus Pistachio 7S may cross react.",,Not reported
Cashew,Anacardium occidentale,,Ana o 2,,Major,11S seed storage globulin; Cupin; PfamPF00190,Partial,,"Pistachio proteins at 34, 41, 52 and 60 kD cross-react with cashew extract by CAP-inhibition but were not identified (Parra et al. 1993 [952]). Thus Pistachio 11S may cross react.",,"Whole raw cashew nuts were ground in a blender and defatted with cold acetone. The defatted flour was extracted with 0.1M Tris-HCl, pH 8.1, and subjected to anion exchange on DEAE DE-53 (Whatman) and gel filtration (Sephacryl S300) (Teuber et al. 2002) [695].Wang et al. (2003) [697] report preparation of recombinant Ana o 2 as a fusion protein inEscherichia colithat was cleaved to a 52 kDa protein. This is similar to the native precursor after removal of the leader peptide but is unlikely to form native oligomers."
Cashew,Anacardium occidentale,,Ana o 3,,Major,PfamPF00234; tryp_alpha_amyl;,Yes,,Not known,,Not reported.
Poppy seed,Papaver somniferum,,,,,,,,,,
Poppy seed,Papaver somniferum,,,,,,,,,,
Date,Phoenix dactylifera,,,,,,,,,,
Date,Phoenix dactylifera,,,,,,,,,,
Brazil nut,Bertholletia excelsa,,,,,,,,,,
Brazil nut,Bertholletia excelsa,,,,,,,,,,
Brazil nut,Bertholletia excelsa,,Ber e 1,,Major,PFAMPF00234; tryp_alpha_amyl; 2S albumin subfamily.,Yes,,"Possible cross-reactivity with other 2S albumins from walnut, cottonseed, sunflower, castor bean (based on sequence homology and inhibition experiments by sera from people allergic to those proteins). 9kD protein bound IgE from all symptomatic individuals in the study.",,"Sun et al. (1987) [1025] described two purifications of the 2S proteins. Both started with nut kernels which were ground into a fine paste and defatted three times with hexane. 1g of the dried defatted flour was extracted by 10 mls of 1M NaCl in 0.035 sodium phosphate buffer, pH 7.5.In the first method, this was loaded in 1ml aliquots onto a sucrose gradient to separate 11S, 7S and 2S proteins by the method of Youle and Huang (1981) [1070]. Dialysis against deionized water at 4Â° C removed the 7S and 11S as precipitates (centrifuged at 26000 g for 30 min.).In the second method, the 2S fraction was purified on Sepadex G-150 in 1M NaCl in 0.035 sodium phosphate buffer, pH 7.5, diaylsed against deionized water and lyophilized. A method using extraction with water was also tested.Pastorello et al. (1998) [153] used a modification of method of Sun et al. (1987) with HPLC on a Superdex 75 column. The fractions containing the 2S protein were concentrated and analysed by N-terminal sequencing.Kernels were removed, milled in dry ice to yield a fine paste and defatted by extraction (four times) with petroleum ether (1g : 10mL) at room temperature. After extraction, the recovery of the Brazil nut flour from original kernels was 25.3% (w:w). 2S albumins were extracted from the defatted flour by stirring for 30 min at 2 ÂºC with water (1g : 10mL), centrifuged at 7680Ãg for 30 min at 5 ÂºC. The supernatant was collected and dialysed against water (5 l) at 2 ÂºC using a dialysis membrane of ca. 3500 MW cut off, and lyophilised. The extract was then subjected to gel-permeation chromatography on a HiLoad 16/60 Superdex 75 preparative column (Pharmacia Biotech, Uppsala, Sweden) equilibrated in 0.1 M ammonium acetate (pH=6.7) and attached to a Biocad Sprint (PerSeptive Biosystems, Framingham, USA) perfusion chromatography system. Sample (100 mg) was dissolved in 2 mL 0.1 M ammonium acetate and 2S albumins eluted in the same using a flow rate of 1 mL/min at room temperature. 2S albumin isoforms were isolated using gradient chromatofocusing on an anion-exchange column (POROS HQ, 100 x 4.6 mm I.D., 20 micron particle size) attached to a Biocad Sprint perfusion chromatography system, equilibrated in 10 mM piperazine, 10 mM Trizma base and 10 mM bis-tris pH 9 (buffer A). The 2S albumins were dissolved in buffer A and eluted (5 mL/min) at room temperature using an isocratic elution for one minute at starting pH 9.0, followed by a linear pH gradient up to 5 (slope of -0.333 pH/min) developed by mixing buffer A with B (identical to buffer A but at pH 5.0). Any remaining bound protein was eluted subsequently with a linear gradient from 0 to 0.1M NaCl for 5 min, monitored at 280 nm. Peak fractions were collected, dialysed against water (5 l, changed each 12 h) at 2 ÂºC for 48 h using a cellulose membrane of MW cut off: ca. 3500, and lyophilised prior to further analysis (Moreno et al. 2004 [974])."
Brazil nut,Bertholletia excelsa,,Ber e 2,,Minor,PfamPF00190; Cupin; 11S seed storage globulin,Yes,,Not reported,,"Nut kernels were ground into a fine paste and defatted three times with hexane. 1g of the dried defatted flour was extracted by 10 mls of 1M NaCl in 0.035 sodium phosphate buffer, pH 7.5. This was loaded in 1ml aliquots onto a sucrose gradient to separate 11S, 7S and 2S proteins by the method of Youle and Huang (1981) [249] (Sun et al, 1987 [1025]).Kamiya et al. (1983) [1026] also purified the Brazil nut 11S globulin."
Lentil,Lens culinaris,,,,,,,,,,
Lentil,Lens culinaris,,,,,,,,,,
Lentil,Lens culinaris,,Len c 1,,Major,7S seed storage globulin; Cupin; PfamPF00190,Yes,,SÃ¡nchez-Monge et al (2004) [1157] reported that Len c 1 strongly inhibited the IgE binding of pea proteins in immunoblotting. Cross-reactivity with pea vicilin is likely because of the high level of sequence identity with Len c 1.,,"Lopez-Torrejon et al. (2003) [689] made an extract from mature lentil seeds (Lens culinariscultivar GuareÃ±a) which were ground, defatted with cold acetone (2 X 1:10 w/v for 1 hour at 4Â°C), dried, and extracted with 0.1M sodium phosphate, pH 7.4, and 0.15 M NaCl (1:5 w/v for 1 hour at 4Â°C). After centrifugation (10,000 rpm for 30 minutes at 4Â°C), the supernatant was dialyzed (3.5 kDa cut-off) against H2O and freeze-dried.Len c 1.01 was redissolved in 0.5 mol/L NaCl, and salted out with ammonium sulfate at 85% saturation (2 hours at 4Â°C). After centrifugation, the supernatant was dialyzed against H2O and freeze-dried and then fractionated by means of anion-exchange chromatography on a Mono Q HR 5/5 column (Amersham Biosciences; 1.0-mL total volume) by using a linear gradient to 1M NaCl in 20 mM ethanolamine (pH 9.0; 0%-100% in 120 minutes). The Len c 1.01 enriched fractions were further purified by means of reverse-phase HPLC on a Vydac-C4 column (2.2 Ã 25 cm; particle size, 10 Âµm; The Separations Group), eluting with a 2-step linear gradient of acetonitrile in 0.1% trifluoroacetic acid (30%-40% in 30 minutes and 40%-85% in 220 minutes, 1.0 mL/min). Peaks containing Len c 1.01 in each chromatographic profile were identified by means of SDS-PAGE and immunodetection with the pool of sera from patients with lentil allergy."
Carrot,Daucus carota,,,,,,,,,,
Carrot,Daucus carota,,,,,,,,,,
Carrot,Daucus carota,,Cyclophilin,,Minor,"Cyclophilin type peptidyl-prolyl cis-trans isomerase family, Pfam,PF00160",No,,Cyclophilins are ubiquitous but sera reactive to carrot cyclophilin does not cross-react with the allergenic cyclophilin from birch pollen (Bet v 7).,,"Fresh carrots were homogenized in 30 mM Tris-HCl (pH 8), filtered through cheesecloth and centrifuged. Proteins were precipitated by 70% ammonium sulfate. The precipitate was dialysed against 30 mM Tris-HCl with 1 mM EDTA (pH 8) and passed through a TSK gel Super Q-Toyopearl 650 column and again precipitated, disolved in 20 mM MOPS with 1 mM EDTA (pH 6), desalted with a PD-10 column and applied to a Hi-trap SP column. Fractions were eluted with 20 mM MOPS with 1 mM EDTA (pH 6) and a gradient of 0-1.0 M NaCl. The IgE binding fraction was concentrated and chromatograhed on a TSK gel G3000SW HPLC column in 20 mM Tris-HCl, 1 mM EDTA and 0.15 M NaCl (pH 7.5)."
Carrot,Daucus carota,,Dau c 1,,Major,"Pathogenesis-related protein Bet v I family, Pfam,PF00407",Yes,,"As a consequence of sequence homology IgE to Dau c 1 cross-reacts with other Bet v 1 homologues including major food allergens from celery (Api g 1), apple (Mal d 1) and cherry (Pru a 1) and major pollen allergens of the order Fagales (Bet v 1, Cor a 1, Aln g 1 and Car b 1) (Ebner et al. 1995) (Schoning et al. 1995)IgE cross-inhibition studies between Dau c 1, Bet v 1 and Api g 1 indicate the presence of common epitopes (Hoffmann et al. 1999).",,"Natural Dau c 1 was purified as for Bet v 1 from birch by RP-HPLC (C8) (Hypersil WP300, 8x250mm, 10um particle size) using 0.1% (v:v) trifluroacetic acid as the solvent and eluting the protein with a linear gradient of propan-2-ol (0-60%, 1.0ml/min) (Hoffmann et al. 1999)Recombinant Dau c 1 has been purified using a hererologous expression systen, E. coli, as a hexahistidine-tagged fusion protein and further purified by Ni-chelate affinity chromatography (Hoffmann et al. 1999)."
Carrot,Daucus carota,,LTP,,Minor,"Protease inhibitor/seed storage/LTP family, Pfam PF00234 non specific lipid transfer protein (nsLTP)",yes,,Not known,,Carrot LTP was produced as recombinant protein in Pichia pastoris and natural carrot LTP was purified by ion-exchange chromatography and gel filtration.
Fish,,,,,,,,,,,
Fish,,,,,,,,,,,
Alaska Pollock,Theragra chalcogramma,,,,,,,,,,
Alaska Pollock,Theragra chalcogramma,,,,,,,,,,
